id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
283155,Calico,2020,241,7.27486,7.53041,19330,0,9,,,47,,,,
21050,"Combat Commander: Europe",2006,242,7.27462,7.95321,5950,0,,,,,,,,10
9209,"Ticket to Ride",2004,243,7.27259,7.39191,90624,0,,,,59,,,,
374173,"Star Wars: The Deckbuilding Game",2023,244,7.27222,7.89657,6983,0,,,,39,,162,,
54998,Cyclades,2009,245,7.27002,7.50789,21703,0,,,,,,190,,
269207,"The Taverns of Tiefenthal",2019,246,7.26873,7.57485,14576,0,,,,46,,181,,
221194,"Dinosaur Island",2017,247,7.26771,7.56238,16192,0,,,,,,187,,
188834,"Secret Hitler",2016,248,7.26466,7.50615,29532,0,,,,,19,,,
146886,"La Granja",2014,249,7.26032,7.60628,11225,0,,,,,,166,,
256680,"Return to Dark Tower",2022,250,7.25999,8.27335,4435,0,,,,,,,31,
224037,"Codenames: Duet",2017,251,7.25798,7.4329,23495,0,,,,52,,,,
165722,KLASK,2014,252,7.257,7.6333,10534,0,,,,45,6,,,
129437,"Legendary: A Marvel Deck Building Game",2012,253,7.25013,7.53009,22711,0,,,,,,,75,
232832,"Century: Golem Edition",2017,254,7.24886,7.594,12495,0,,,,49,,202,,
158600,Hanamikoji,2013,255,7.24558,7.47826,18796,0,,,,55,,,,
223040,"Fantasy Realms",2017,256,7.24545,7.51614,15549,0,,,,51,,,,
156129,"Deception: Murder in Hong Kong",2014,257,7.24466,7.4451,22903,0,,,,,11,,,
274637,"Unmatched: Battle of Legends, Volume One",2019,258,7.2415,7.73167,9245,0,,,,,,195,,
176189,"Zombicide: Black Plague",2015,259,7.24105,7.61168,16322,0,,,,,,,66,
318977,"MicroMacro: Crime City",2020,260,7.24057,7.49649,16225,0,,,,53,,,,
260605,"Camel Up (Second Edition)",2018,261,7.23989,7.57492,13281,0,,,,50,8,,,
192291,"Sushi Go Party!",2016,262,7.2367,7.39151,35538,0,,,,61,,,,
300322,Hallertau,2020,263,7.23571,7.87888,5957,0,,,,,,153,,
199478,"Flamme Rouge",2016,264,7.23528,7.49001,18195,0,,,,58,,,,
169426,"Roll Player",2016,265,7.23501,7.44358,20715,0,,,,,,212,,
555,"The Princes of Florence",2000,266,7.23246,7.50491,15602,0,,,,,,189,,
176494,"Isle of Skye: From Chieftain to King",2015,267,7.23174,7.39791,25657,0,,,,60,,214,,
109276,"Kanban: Driver's Edition",2014,268,7.22709,7.78621,6883,0,,,,,,159,,
224783,Vindication,2018,269,7.22641,7.79065,7447,0,,,,,,173,,
